areaCodeName,city,degreeName,detail_href,headCount,highMonthPay,jobId,jobName,keyUnits,location,lowMonthPay,publishDate,recId,recName,recProperty,recScale,recTags,sortPriority,updateDate,userType
北京市朝阳区 ,北京,本科,https://job.ncss.cn/student/jobs/LEiRk4g5RuM9F4BFFUvqQK/detail.html,300,30.0,LEiRk4g5RuM9F4BFFUvqQK,美菜网2020年校园春季招聘,0,北京市朝阳区 ,8.0,2020-03-05 19:25,4d78439c73c74ea3ab9a3ec016438794,北京云杉世界信息技术有限公司,合资企业,1000人以上,,0,2020-03-05 19:25,00
上海,上海,本科,https://job.ncss.cn/student/jobs/KyFRW6C9SfefeDStzeduB2/detail.html,1,7.0,KyFRW6C9SfefeDStzeduB2,商务专员,1,,5.0,2020-03-05 12:35,cb87f5870c7c47e7b02c01a508526c70,上海自动化仪表有限公司,国有企业,1000人以上,,0,2020-03-05 12:35,00
山东,济南,本科,https://job.ncss.cn/student/jobs/5eFsDrcFCk922RnKh4YQn3/detail.html,1000,50.0,5eFsDrcFCk922RnKh4YQn3,浪潮集团春季招聘,0,山东省济南市山东省济南市历下区高新区浪潮路1036号,1.0,2020-02-05 10:26,-,浪潮集团有限公司,上市公司,5000以上,,20,2020-02-05 10:26,11
上海,上海,本科,https://job.ncss.cn/student/jobs/DSRrwiWidAu5ArPcSW8ALW/detail.html,3,7.0,DSRrwiWidAu5ArPcSW8ALW,核电销售工程师,1,,5.0,2020-03-05 11:11,cb87f5870c7c47e7b02c01a508526c70,上海自动化仪表有限公司,国有企业,1000人以上,,0,2020-03-05 11:11,00
北京,北京,本科,https://job.ncss.cn/student/jobs/UDvNjqvXBxpcPWcyxzPXAF/detail.html,3,10.0,UDvNjqvXBxpcPWcyxzPXAF,软件研发工程师,0,北京市西城区北京市西城区德外教场口一号,7.0,2020-03-05 17:54,-,北京机械工业自动化研究所有限公司,国有企业,1000-4999人,,0,2020-03-05 17:54,11
北京,北京,本科,https://job.ncss.cn/student/jobs/PE29iFL798LKoqgAzeuDgm/detail.html,3,10.0,PE29iFL798LKoqgAzeuDgm,软件开发工程师,0,北京市西城区北京市西城区德外教场口一号,5.0,2020-03-05 17:54,-,北京机械工业自动化研究所有限公司,国有企业,1000-4999人,,0,2020-03-05 17:54,11
北京,北京,本科,https://job.ncss.cn/student/jobs/BArrJNCzRXaLfGg6sZrmEt/detail.html,3,10.0,BArrJNCzRXaLfGg6sZrmEt,软件设计师,0,北京市西城区北京市西城区德外教场口一号,5.0,2020-03-05 17:54,-,北京机械工业自动化研究所有限公司,国有企业,1000-4999人,,0,2020-03-05 17:54,11
浙江,杭州,本科,https://job.ncss.cn/student/jobs/99mtF5TXb367B4o7k1q9yy/detail.html,100,15.0,99mtF5TXb367B4o7k1q9yy,安恒信息春招空宣|7号7点，不见不散,0,浙江省杭州市浙江省杭州市滨江区西兴街道联慧街188号安恒大厦,8.0,2020-03-05 17:41,45e9096f075a4fbda453f862774cbb2c,杭州安恒信息技术股份有限公司,民营企业,1000-4999人,,0,2020-03-05 17:41,00
北京,北京,本科,https://job.ncss.cn/student/jobs/PgnreyRf927ypJ5vmsP6vJ/detail.html,3,10.0,PgnreyRf927ypJ5vmsP6vJ,实施顾问,0,北京市西城区北京市西城区德外教场口一号,5.0,2020-03-05 17:54,-,北京机械工业自动化研究所有限公司,国有企业,1000-4999人,,0,2020-03-05 17:54,11
北京,北京,本科,https://job.ncss.cn/student/jobs/TfGwmcJpZkpct51EN9Zrfj/detail.html,2,10.0,TfGwmcJpZkpct51EN9Zrfj,C++工程师,0,北京市顺义区,6.0,2020-03-05 18:07,768772ef24364988b6b19f1c35e4df19,北京三帝科技股份有限公司,股份制企业,100-499人,五险一金，岗位晋升，技能培训，股票期权，定期体检，年终奖，节日礼物，提供住宿,0,2020-03-05 18:07,00
